Iterator T GF Best_GF
386 9.62695 44174 44174
387 9.62695 44174 44174
388 9.62695 44174 44174
389 9.62695 44174 44174
390 9.62695 44174 44174
391 9.61732 44174 44174
392 9.61732 44174 44174
393 9.61732 44174 44174
394 9.61732 44174 44174
395 9.61732 44174 44174
396 9.61732 44174 44174
397 9.61732 44174 44174
398 9.61732 44174 44174
399 9.61732 44174 44174
400 9.61732 44174 44174
401 9.6077 44174 44174
402 9.6077 44174 44174
403 9.6077 44174 44174
404 9.6077 44174 44174
405 9.6077 44174 44174
406 9.6077 44174 44174
407 9.6077 44174 44174
408 9.6077 44174 44174
409 9.6077 44174 44174
410 9.6077 44174 44174
411 9.59809 44174 44174
412 9.59809 44174 44174
413 9.59809 44174 44174
414 9.59809 44174 44174
415 9.59809 44174 44174
416 9.59809 44174 44174
417 9.59809 44174 44174
418 9.59809 44174 44174
419 9.59809 44174 44174
420 9.59809 44174 44174
421 9.5885 44174 44174
422 9.5885 44174 44174
423 9.5885 44174 44174
424 9.5885 44174 44174
425 9.5885 44174 44174
426 9.5885 44174 44174
427 9.5885 44174 44174
428 9.5885 44174 44174
429 9.5885 44174 44174
430 9.5885 44174 44174
431 9.57891 44174 44174
432 9.57891 44174 44174
433 9.57891 44174 44174
434 9.57891 44174 44174
435 9.57891 44174 44174
436 9.57891 44174 44174
437 9.57891 44174 44174
438 9.57891 44174 44174
439 9.57891 44174 44174
440 9.57891 44174 44174
441 9.56933 44174 44174
442 9.56933 44174 44174
443 9.56933 44174 44174
444 9.56933 44174 44174
445 9.56933 44174 44174
446 9.56933 44174 44174
447 9.56933 44174 44174
448 9.56933 44174 44174
449 9.56933 44174 44174
450 9.56933 44174 44174
451 9.55976 44174 44174
452 9.55976 44174 44174
453 9.55976 44174 44174
454 9.55976 44174 44174
455 9.55976 44174 44174
456 9.55976 44174 44174
457 9.55976 44174 44174
458 9.55976 44174 44174
459 9.55976 42497 42497
460 9.55976 42497 42497
461 9.5502 42497 42497
462 9.5502 42497 42497
463 9.5502 42497 42497
464 9.5502 42497 42497
465 9.5502 42497 42497
466 9.5502 42497 42497
467 9.5502 42497 42497
468 9.5502 42497 42497
469 9.5502 42497 42497
470 9.5502 42497 42497
471 9.54065 42497 42497
